SEGU7300591;40' Open Top;Sold;;2020-10-28;Sydney;12/2011
SEGU7300605;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300610;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300626;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300631;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300647;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300652;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300668;40' Open Top;Sold;;2018-06-09;Singapore;12/2011
SEGU7300673;40' Open Top;Sold;;2016-11-01;Adelaide;12/2011
SEGU7300689;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300694;40' Open Top;On Hire;Sinotrans Container Lines Co., Ltd;2017-06-26;Shanghai;12/2011
SEGU7300708;40' Open Top;Sold;;2020-10-27;Busan;12/2011
SEGU7300713;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7300729;40' Open Top;Sold;;2020-01-21;Oakland;12/2011
SEGU7300734;40' Open Top;Sold;;2020-09-08;Melbourne;12/2011
SEGU7300740;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7300755;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-06-13;Antwerp;12/2011
SEGU7300760;40' Open Top;Sold;;2018-11-08;Singapore;12/2011
SEGU7300776;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300781;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7300797;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7300800;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
SEGU7300816;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7300821;40' Open Top;On Hire;Fuzhou Mawei Shipping Co., Ltd. & F;2017-08-10;Xiamen;12/2011
SEGU7300837;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7300842;40' Open Top;On Hire;CMA CGM;2012-07-07;Changzhou Manuf;12/2011
SEGU7300858;;;;;;/
SEGU7300863;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300879;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300884;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300890;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300903;40' Open Top;Sold;;2017-12-01;Brisbane;12/2011
SEGU7300919;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300924;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300930;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300945;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300950;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300966;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7300971;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7300987;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7300992;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301005;40' Open Top;On Hire;CMA CGM;2017-12-14;Busan;12/2011
SEGU7301010;40' Open Top;On Hire;CMA CGM;2017-12-12;Busan;12/2011
SEGU7301026;40' Open Top;On Hire;Sinotrans Container Lines Co., Ltd;2017-06-19;Shanghai;12/2011
SEGU7301031;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301047;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301052;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301068;40' Open Top;On Hire;CMA CGM;2012-07-07;Changzhou Manuf;12/2011
SEGU7301073;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301089;40' Open Top;On Hire;Swire Shipping Pte. Ltd.;2023-02-16;Xiamen;12/2011
SEGU7301094;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7301108;40' Open Top;Sold;;2018-01-02;Hamburg;12/2011
SEGU7301113;40' Open Top;On Hire;CMA CGM;2017-12-15;Busan;12/2011
SEGU7301129;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301134;;;;;;/
SEGU7301140;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2017-03-31;Chennai;12/2011
SEGU7301155;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Rotterdam;12/2011
SEGU7301160;40' Open Top;On Hire;CMA CGM;2012-07-12;Changzhou Manuf;12/2011
SEGU7301176;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301181;40' Open Top;On Hire;FESCO Ocean Management Limited;2017-02-11;Shanghai;12/2011
SEGU7301197;40' Open Top;Sold;;2021-03-08;Busan;12/2011
SEGU7301200;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7301216;40' Open Top;On Hire;Matson Navigation Company, Inc;2018-04-19;Ningbo;12/2011
SEGU7301221;40' Open Top;On Hire;Transinsular-Transportes Maritimos;2020-06-19;Portugal Pier;12/2011
SEGU7301237;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301242;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301258;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301263;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301279;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301284;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301290;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301303;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7301319;40' Open Top;Sold;;2018-01-05;Hamburg;12/2011
SEGU7301324;;;;;;/
SEGU7301330;40' Open Top;Sold;;2018-09-01;Singapore;12/2011
SEGU7301345;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7301350;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-09-01;Shanghai;12/2011
SEGU7301366;40' Open Top;On Hire;CMA CGM;2012-07-04;Changzhou Manuf;12/2011
SEGU7301371;40' Open Top;On Hire;CMA CGM;2012-07-04;Changzhou Manuf;12/2011
SEGU7301387;40' Open Top;On Hire;CMA CGM;2012-07-06;Changzhou Manuf;12/2011
SEGU7301392;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7301406;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7301411;40' Open Top;On Hire;CMA CGM;2012-07-05;Changzhou Manuf;12/2011
SEGU7301427;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2018-12-18;Antwerp;12/2011
SEGU7301432;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-06-13;Antwerp;12/2011
SEGU7301448;40' Open Top;Sold;;2016-09-13;Denver;12/2011
SEGU7301453;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7301469;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7301474;40' Open Top;On Hire;CMA CGM;2018-01-04;Busan;12/2011
SEGU7301480;40' Open Top;Sold;;2021-07-12;Brisbane;12/2011
SEGU7301495;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7301509;40' Open Top;Sold;;2020-04-06;Seattle;12/2011
SEGU7301514;40' Open Top;On Hire;TS CONTAINER LINES PTE. LTD.;2023-05-17;Xiamen;12/2011
SEGU7301520;40' Open Top;Sold;;2019-10-25;Singapore;12/2011
SEGU7301535;40' Open Top;Sold;;2023-07-14;Busan;12/2011
SEGU7301540;40' Open Top;Sold;;2016-10-06;Oakland;12/2011
SEGU7301556;40' Open Top;Sold;;2019-02-19;Busan;12/2011
SEGU7301561;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7301577;40' Open Top;Sold;;2020-04-09;Busan;12/2011
SEGU7301582;40' Open Top;Sold;;2018-02-14;Seattle;12/2011
SEGU7301598;40' Open Top;Sold;;2018-10-17;Singapore;12/2011
SEGU7301601;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
SEGU7301617;40' Open Top;Sold;;2019-01-18;Busan;12/2011
SEGU7301622;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-05-29;Singapore;12/2011
SEGU7301638;40' Open Top;Sold;;2019-02-13;Singapore;12/2011
SEGU7301643;40' Open Top;Sold;;2019-12-28;Shanghai;12/2011
SEGU7301659;40' Open Top;Sold;;2020-10-28;Sydney;12/2011
SEGU7301664;40' Open Top;Sold;;2019-11-07;Busan;12/2011
SEGU7301670;40' Open Top;On Hire;Transinsular-Transportes Maritimos;2020-06-19;Portugal Pier;12/2011
SEGU7301685;40' Open Top;Sold;;2022-03-07;Singapore;12/2011
SEGU7301690;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7301704;40' Open Top;On Hire;R.C.C. Container Trading B.V.;2019-04-02;Rotterdam;12/2011
SEGU7301710;40' Open Top;Sold;;2020-10-28;Sydney;12/2011
SEGU7301725;40' Open Top;On Hire;Sinotrans Container Lines Co., Ltd;2017-06-23;Shanghai;12/2011
SEGU7301730;40' Open Top;Sold;;2018-11-21;Singapore;12/2011
SEGU7301746;40' Open Top;Sold;;2023-03-10;Antwerp;12/2011
SEGU7301751;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-07-24;Antwerp;12/2011
SEGU7301767;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Rotterdam;12/2011
SEGU7301772;40' Open Top;On Hire;FESCO Ocean Management Limited;2018-09-27;Hamburg;12/2011
SEGU7301788;40' Open Top;On Hire;Fuzhou Mawei Shipping Co., Ltd. & F;2017-08-10;Xiamen;12/2011
SEGU7301793;40' Open Top;On Hire;Swire Shipping Pte. Ltd.;2023-02-16;Xiamen;12/2011
SEGU7301807;40' Open Top;On Hire;Transinsular-Transportes Maritimos;2020-06-19;Portugal Pier;12/2011
SEGU7301812;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7301828;40' Open Top;Sold;;2019-05-31;Antwerp;12/2011
SEGU7301833;40' Open Top;Sold;;2018-01-05;Hamburg;12/2011
SEGU7301849;;;;;;/
SEGU7301854;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7301860;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7301875;40' Open Top;Sold;;2019-09-27;Busan;12/2011
SEGU7301880;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Shanghai;12/2011
SEGU7301896;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;La Spezia;12/2011
SEGU7301900;40' Open Top;On Hire;CMA CGM;2017-04-20;Changzhou Manuf;12/2011
SEGU7301915;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
